,Borough,2010 Census Tract Number:,Total Low-Income Units:
697,BROOKLYN,251.0,18.0
698,BROOKLYN,243.0,5.0
699,BROOKLYN,249.0,3.0
700,BROOKLYN,289.0,1.0
701,BROOKLYN,289.0,14.0
702,BROOKLYN,289.0,13.0
703,BROOKLYN,281.0,3.0
704,BROOKLYN,279.0,1.0
705,BROOKLYN,279.0,6.0
706,BROOKLYN,279.0,4.0
707,BROOKLYN,289.0,8.0
708,BROOKLYN,279.0,3.0
709,BROOKLYN,289.0,7.0
710,BROOKLYN,299.0,5.0
711,BROOKLYN,291.0,13.0
712,BROOKLYN,387.0,2.0
713,BROOKLYN,249.0,4.0
714,BROOKLYN,267.0,3.0
715,BROOKLYN,277.0,4.0
716,BROOKLYN,277.0,11.0
717,BROOKLYN,267.0,4.0
718,BROOKLYN,267.0,3.0
719,BROOKLYN,249.0,3.0
720,BROOKLYN,267.0,3.0
721,BROOKLYN,249.0,5.0
722,BROOKLYN,59.0,34.0
723,BROOKLYN,433.0,42.0
724,BROOKLYN,443.0,35.0
725,BROOKLYN,337.0,17.0
726,BROOKLYN,323.0,2.0
727,BROOKLYN,800.0,2.0
728,BROOKLYN,323.0,2.0
729,BROOKLYN,325.0,12.0
730,BROOKLYN,804.0,3.0
731,BROOKLYN,419.0,5.0
732,BROOKLYN,421.0,16.0
733,BROOKLYN,395.0,5.0
734,BROOKLYN,417.0,5.0
735,BROOKLYN,405.0,9.0
736,BROOKLYN,395.0,8.0
737,BROOKLYN,431.0,6.0
738,BROOKLYN,417.0,4.0
739,BROOKLYN,399.0,7.0
740,BROOKLYN,415.0,5.0
741,BROOKLYN,415.0,5.0
742,BROOKLYN,1134.0,52.0
743,BROOKLYN,289.0,2.0
744,BROOKLYN,289.0,11.0
745,BROOKLYN,289.0,3.0
746,BROOKLYN,289.0,6.0
747,BROOKLYN,289.0,1.0
748,BROOKLYN,261.0,1.0
749,BROOKLYN,379.0,47.0
750,BROOKLYN,277.0,5.0
751,BROOKLYN,265.0,3.0
752,BROOKLYN,277.0,2.0
753,BROOKLYN,267.0,2.0
754,BROOKLYN,249.0,3.0
755,BROOKLYN,267.0,3.0
756,BROOKLYN,383.0,6.0
757,BROOKLYN,295.0,12.0
758,BROOKLYN,293.0,6.0
759,BROOKLYN,291.0,44.0
760,BROOKLYN,215.0,14.0
761,BROOKLYN,77.0,6.0
762,BROOKLYN,110.0,16.0
763,BROOKLYN,219.0,27.0
764,BROOKLYN,1126.0,40.0
765,BROOKLYN,507.0,46.0
766,BROOKLYN,908.0,37.0
767,BROOKLYN,281.0,72.0
768,BROOKLYN,213.0,3.0
769,BROOKLYN,325.0,2.0
770,BROOKLYN,796.01,1.0
771,BROOKLYN,876.0,5.0
772,BROOKLYN,804.0,4.0
773,BROOKLYN,802.0,6.0
774,BROOKLYN,321.0,7.0
775,BROOKLYN,327.0,1.0
776,BROOKLYN,321.0,2.0
777,BROOKLYN,323.0,2.0
778,BROOKLYN,1220.0,99.0
779,BROOKLYN,375.0,6.0
780,BROOKLYN,385.0,3.0
781,BROOKLYN,305.0,51.0
782,BROOKLYN,289.0,16.0
783,BROOKLYN,417.0,39.0
784,BROOKLYN,387.0,45.0
785,BROOKLYN,1098.0,54.0
786,BROOKLYN,505.0,23.0
787,BROOKLYN,295.0,26.0
788,BROOKLYN,283.0,50.0
789,BROOKLYN,53.0,19.0
790,BROOKLYN,53.0,20.0
791,BROOKLYN,229.0,71.0
792,BROOKLYN,275.0,5.0
793,BROOKLYN,383.0,5.0
794,BROOKLYN,383.0,4.0
795,BROOKLYN,275.0,3.0
796,BROOKLYN,297.0,6.0
797,BROOKLYN,383.0,6.0
798,BROOKLYN,275.0,6.0
799,BROOKLYN,267.0,6.0
800,BROOKLYN,251.0,9.0
801,BROOKLYN,421.0,3.0
802,BROOKLYN,1220.0,82.0
803,BROOKLYN,377.0,4.0
804,BROOKLYN,375.0,4.0
805,BROOKLYN,377.0,3.0
806,BROOKLYN,563.0,32.0
807,BROOKLYN,357.0,24.0
808,BROOKLYN,1208.0,38.0
809,BROOKLYN,261.0,26.0
810,BROOKLYN,579.0,15.0
811,BROOKLYN,265.0,14.0
