,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2012 Inflation Adjusted Dollars),Per capita income (In 2012 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
145,Unnamed: 146,,,0.23199999999999998,0.312,0.024,0.379,0.413,0.132,,,,0.965,,,,0.787,0.213,0.23,,,,2012
146,"Census Tract 129.01, New York city (part), Bronx borough, Bronx County, New York",55598.4,3357.0,761.0,1168.0,197.0,1184.0,811.0,66.0,"$13,245","$10,390",0.45,1360.0,1987.0,"$272,200",$795,2604.0,728.0,754.0,1869.0,1501.0,3332.0,2012
147,Unnamed: 148,,,0.22699999999999998,0.348,0.059000000000000004,0.353,0.434,0.035,,,,0.9059999999999999,,,,0.782,0.21899999999999997,0.225,,,,2012
148,"Census Tract 130, New York city (part), Bronx borough, Bronx County, New York",22678.9,1017.0,808.0,111.0,0.0,72.0,120.0,168.0,"$81,250","$39,769",0.38,442.0,1961.0,"$451,200","$1,189",188.0,829.0,168.0,808.0,442.0,1017.0,2012
149,Unnamed: 150,,,0.795,0.109,0.0,0.071,0.149,0.20800000000000002,,,,1.0,,,,0.185,0.815,0.165,,,,2012
150,"Census Tract 131, New York city (part), Bronx borough, Bronx County, New York",56973.3,5108.0,506.0,1825.0,53.0,2536.0,1123.0,256.0,"$25,518","$13,317",0.5,1611.0,1975.0,"$395,700",$836,2930.0,2178.0,1535.0,2811.0,1697.0,5108.0,2012
151,Unnamed: 152,,,0.099,0.35700000000000004,0.01,0.49700000000000005,0.4,0.091,,,,0.9490000000000001,,,,0.574,0.426,0.301,,,,2012
152,"Census Tract 132, New York city (part), Bronx borough, Bronx County, New York",29737.6,6924.0,3394.0,865.0,71.0,2484.0,700.0,1129.0,"$87,000","$34,078",0.34,2406.0,1961.0,"$460,800","$1,531",1240.0,5681.0,1267.0,4849.0,2508.0,6921.0,2012
153,Unnamed: 154,,,0.49,0.125,0.01,0.359,0.14400000000000002,0.233,,,,0.9590000000000001,,,,0.179,0.821,0.183,,,,2012
154,"Census Tract 133, New York city (part), Bronx borough, Bronx County, New York",107804.3,6708.0,231.0,2852.0,51.0,3466.0,1724.0,259.0,"$21,551","$12,466",0.48,2240.0,1957.0,"$214,500",$467,4531.0,2146.0,1945.0,4105.0,2360.0,6677.0,2012
155,Unnamed: 156,,,0.034,0.425,0.008,0.517,0.42,0.063,,,,0.9490000000000001,,,,0.679,0.321,0.29,,,,2012
156,"Census Tract 135, New York city (part), Bronx borough, Bronx County, New York",55743.4,3603.0,191.0,1281.0,0.0,1854.0,862.0,227.0,"$19,315","$10,525",0.49,1269.0,1954.0,"$255,200",$572,2706.0,890.0,1065.0,2173.0,1433.0,3596.0,2012
157,Unnamed: 158,,,0.053,0.35600000000000004,0.0,0.515,0.397,0.105,,,,0.8859999999999999,,,,0.753,0.248,0.29600000000000004,,,,2012
158,"Census Tract 138, New York city (part), Bronx borough, Bronx County, New York",10899.5,3197.0,2486.0,127.0,132.0,432.0,266.0,621.0,"$69,779","$33,697",0.37,1297.0,1959.0,"$317,600","$1,458",656.0,2540.0,332.0,2286.0,1420.0,3196.0,2012
159,Unnamed: 160,,,0.778,0.04,0.040999999999999995,0.135,0.11599999999999999,0.272,,,,0.9129999999999999,,,,0.205,0.795,0.10400000000000001,,,,2012
160,"Census Tract 141, New York city (part), Bronx borough, Bronx County, New York",50424.5,3448.0,1076.0,1387.0,78.0,792.0,772.0,224.0,"$29,167","$14,165",0.41,1312.0,2000.0,"$470,600",$879,1934.0,1472.0,967.0,1981.0,1479.0,3406.0,2012
161,Unnamed: 162,,,0.312,0.402,0.023,0.23,0.39,0.113,,,,0.887,,,,0.568,0.43200000000000005,0.281,,,,2012
162,"Census Tract 143, New York city (part), Bronx borough, Bronx County, New York",16632.7,833.0,46.0,330.0,0.0,400.0,211.0,25.0,"$11,635","$8,057",0.5,301.0,1951.0,,$610,772.0,49.0,254.0,480.0,351.0,821.0,2012
163,Unnamed: 164,,,0.055,0.396,0.0,0.48,0.44,0.052000000000000005,,,,0.858,,,,0.94,0.06,0.305,,,,2012
164,"Census Tract 144, New York city (part), Bronx borough, Bronx County, New York",35977.2,5378.0,1160.0,2290.0,51.0,1485.0,998.0,268.0,"$21,944","$14,898",0.53,2002.0,1958.0,"$518,300",$468,3493.0,1880.0,613.0,3133.0,2223.0,5373.0,2012
165,Unnamed: 166,,,0.21600000000000003,0.426,0.01,0.276,0.319,0.086,,,,0.9009999999999999,,,,0.65,0.35,0.114,,,,2012
166,"Census Tract 145, New York city (part), Bronx borough, Bronx County, New York",87160.4,6106.0,428.0,2795.0,10.0,2491.0,1215.0,197.0,"$20,600","$9,154",0.44,1982.0,1956.0,"$142,500",$795,4572.0,1318.0,1220.0,3049.0,2092.0,5890.0,2012
167,Unnamed: 168,,,0.07,0.45799999999999996,0.002,0.408,0.39899999999999997,0.065,,,,0.9470000000000001,,,,0.7759999999999999,0.22399999999999998,0.2,,,,2012
168,"Census Tract 147.01, New York city (part), Bronx borough, Bronx County, New York",109251.5,5860.0,434.0,3318.0,19.0,2006.0,1391.0,210.0,"$15,538","$8,576",0.46,1987.0,1957.0,,$426,4419.0,1390.0,1252.0,3053.0,2010.0,5809.0,2012
169,Unnamed: 170,,,0.07400000000000001,0.5660000000000001,0.003,0.342,0.456,0.069,,,,0.9890000000000001,,,,0.7609999999999999,0.239,0.214,,,,2012
170,"Census Tract 147.02, New York city (part), Bronx borough, Bronx County, New York",121052.9,5436.0,295.0,2511.0,0.0,2447.0,1593.0,84.0,"$16,505","$7,753",0.41,1619.0,1957.0,,$452,4584.0,837.0,1148.0,2819.0,1645.0,5421.0,2012
171,Unnamed: 172,,,0.054000000000000006,0.462,0.0,0.45,0.565,0.03,,,,0.9840000000000001,,,,0.846,0.154,0.21100000000000002,,,,2012
172,"Census Tract 149, New York city (part), Bronx borough, Bronx County, New York",72876.4,4369.0,366.0,1969.0,0.0,1797.0,943.0,197.0,"$24,322","$12,730",0.47,1404.0,1948.0,"$442,600",$862,2804.0,1461.0,1599.0,2684.0,1593.0,4265.0,2012
173,Unnamed: 174,,,0.084,0.451,0.0,0.41100000000000003,0.35100000000000003,0.073,,,,0.8809999999999999,,,,0.657,0.34299999999999997,0.366,,,,2012
174,"Census Tract 151, New York city (part), Bronx borough, Bronx County, New York",76691.8,6203.0,859.0,2962.0,0.0,2123.0,1363.0,392.0,"$28,577","$13,190",0.48,1847.0,1939.0,"$402,500","$1,039",4161.0,2028.0,1961.0,3630.0,1974.0,6189.0,2012
175,Unnamed: 176,,,0.139,0.478,0.0,0.342,0.376,0.10800000000000001,,,,0.9359999999999999,,,,0.672,0.32799999999999996,0.316,,,,2012
176,"Census Tract 152, New York city (part), Bronx borough, Bronx County, New York",21839.3,2559.0,1080.0,258.0,223.0,855.0,412.0,360.0,"$52,632","$24,997",0.47,864.0,1951.0,"$423,600","$1,336",1095.0,1464.0,530.0,1742.0,956.0,2559.0,2012
177,Unnamed: 178,,,0.42200000000000004,0.10099999999999999,0.087,0.33399999999999996,0.237,0.207,,,,0.904,,,,0.428,0.5720000000000001,0.207,,,,2012
178,"Census Tract 153, New York city (part), Bronx borough, Bronx County, New York",45464.3,4095.0,425.0,1895.0,21.0,1432.0,819.0,374.0,"$20,805","$12,590",0.5,1374.0,1981.0,"$347,300","$1,056",2789.0,1282.0,1183.0,2037.0,1417.0,4071.0,2012
179,Unnamed: 180,,,0.10400000000000001,0.46299999999999997,0.005,0.35,0.402,0.184,,,,0.97,,,,0.685,0.315,0.289,,,,2012
180,"Census Tract 155, New York city (part), Bronx borough, Bronx County, New York",75397.4,3457.0,637.0,551.0,0.0,2231.0,963.0,181.0,"$30,064","$11,749",0.38,1047.0,1939.0,"$530,600",$863,2170.0,1276.0,1394.0,1968.0,1074.0,3446.0,2012
181,Unnamed: 182,,,0.184,0.159,0.0,0.645,0.489,0.092,,,,0.975,,,,0.63,0.37,0.40299999999999997,,,,2012
182,"Census Tract 157, New York city (part), Bronx borough, Bronx County, New York",25685.2,3174.0,303.0,1044.0,72.0,1553.0,532.0,183.0,"$28,116","$13,287",0.44,1097.0,1975.0,"$373,300",$931,2213.0,948.0,890.0,1599.0,1272.0,3161.0,2012
183,Unnamed: 184,,,0.096,0.32899999999999996,0.023,0.489,0.33299999999999996,0.114,,,,0.862,,,,0.7,0.3,0.28,,,,2012
184,"Census Tract 158, New York city (part), Bronx borough, Bronx County, New York",20309.5,1278.0,839.0,147.0,27.0,203.0,232.0,124.0,"$54,508","$27,925",0.39,460.0,1962.0,"$478,800","$1,181",315.0,963.0,221.0,883.0,517.0,1278.0,2012
185,Unnamed: 186,,,0.657,0.115,0.021,0.159,0.263,0.14,,,,0.89,,,,0.247,0.754,0.17300000000000001,,,,2012
186,"Census Tract 159, New York city (part), Bronx borough, Bronx County, New York",63788.0,2547.0,329.0,160.0,0.0,1936.0,893.0,116.0,"$16,724","$10,352",0.47,714.0,1967.0,"$295,000",$705,1437.0,1110.0,816.0,1416.0,714.0,2547.0,2012
