,ct_index,Population_density,Total_pop,perc_white,perc_black,perc_asian,perc_hispanic,high_school_below,bachelor_up,Median_hhs_Income,Per_Capita_Income,Gini_Index,Occupied_rate,Median_Value,Median_Rent,inc_to_poverty_under2,inc_to_poverty_above2,Foreign_born,year,GEO.id2,Total_Housing_unit,n_ct,Total Low-Income Units:,perc_pc,perc_pc_,building_age,entropy_index
3945,"Census Tract 575, Kings County, New York",52153.5,3712.0,0.8275862068965517,0.02155172413793104,0.00022294887039239,0.028017241379310345,0.07867132867132867,0.3765734265734266,"$56,429","$28,574",0.4,0.8057913130304544,"$772,100","$1,014",0.3146551724137931,0.6853448275862069,0.4690193965517242,2009,36047057500,2185,575.0,0.0,0.0,0.0,78.0,0.3413489910715611
3946,"Census Tract 576, Kings County, New York",50132.5,3070.0,0.6270358306188925,0.004885993485342019,0.00020424619889866205,0.013029315960912051,0.2367128182224207,0.4001786511835641,"$68,950","$30,279",0.44,0.93436645396536,"$618,700","$1,313",0.3299674267100977,0.6700325732899023,0.5703583061889251,2015,36047057600,1097,576.0,0.0,0.0,0.0,77.0,0.3769599691511672
3951,"Census Tract 578, Kings County, New York",49022.9,3260.0,0.5570552147239264,0.006134969325153374,0.0001708758327374007,0.07177914110429448,0.2282214156079855,0.3262250453720508,"$37,953","$20,064",0.49,0.941919191919192,"$640,300","$1,216",0.4920049200492005,0.5079950799507995,0.5607361963190184,2015,36047057800,1188,578.0,0.0,0.0,0.0,76.0,0.5477380614623706
3952,"Census Tract 578, Kings County, New York",47233.4,3141.0,0.5807067812798472,0.014645017510347025,0.00018487958652653528,0.042661572747532635,0.20776789892372485,0.3308376228357511,"$40,577","$21,622",0.47,0.9386038687973086,"$641,300","$1,144",0.4243295019157088,0.5756704980842912,0.5861190703597581,2014,36047057800,1188,578.0,0.0,0.0,0.0,74.0,0.5136383289212825
3953,"Census Tract 578, Kings County, New York",46662.0,3103.0,0.6235900741218176,0.017402513696422817,0.00020096360751589354,0.0003222687721559781,0.20853307766059445,0.3211888782358581,"$55,549","$25,985",0.46,0.953924914675768,"$631,900","$1,094",0.3367842122290521,0.6632157877709479,0.5533354817918144,2013,36047057800,1188,578.0,0.0,0.0,0.0,75.0,0.36929972350403256
3954,"Census Tract 578, Kings County, New York",47669.5,3170.0,0.6129337539432177,0.00946372239747634,0.00019335449651205602,0.04227129337539432,0.14207898320472084,0.3971856559237403,"$63,371","$28,324",0.45,0.9689165186500888,"$631,900",$985,0.3303769401330377,0.6696230598669624,0.5949526813880126,2010,36047057800,1188,578.0,0.0,0.0,0.0,72.0,0.47951861332002865
3957,"Census Tract 579, Kings County, New York",3122.4,813.0,0.7810578105781057,0.011070110701107009,0.0009607107141182113,0.14268142681426815,0.08936825885978428,0.4807395993836672,"$47,143","$29,846",0.42,0.9109730848861284,"$538,500","$1,366",0.36531365313653136,0.6346863468634686,0.4095940959409594,2014,36047057900,521,579.0,15.0,0.02879078694817658,0.031055900621118012,78.0,0.5273541797325675
3960,"Census Tract 579, Kings County, New York",4793.2,1255.0,0.6788844621513944,0.06135458167330678,0.0005409437945429438,0.149800796812749,0.2806183115338882,0.3091557669441142,"$38,098","$20,175",0.43,0.8701550387596899,"$479,600","$1,095",0.5880478087649402,0.4119521912350598,0.4454183266932271,2009,36047057900,521,579.0,15.0,0.02879078694817658,0.029069767441860465,78.0,0.7226390081850307
3961,"Census Tract 580, Kings County, New York",65288.1,3999.0,0.4098524631157789,0.013003250812703177,0.0001024887379634356,0.04651162790697674,0.3130530973451328,0.2857669616519174,"$40,675","$18,312",0.46,0.9855182926829268,"$726,800","$1,215",0.3850962740685172,0.6149037259314829,0.5568892223055764,2015,36047058000,1312,580.0,0.0,0.0,0.0,69.0,0.565680112268407
3962,"Census Tract 580, Kings County, New York",62577.9,3833.0,0.5397860683537699,0.003913383772501957,0.0001408260027012183,0.047743282024523874,0.2795739825028528,0.301255230125523,"$39,311","$18,667",0.45,0.9804992199687989,"$760,600","$1,195",0.3606600314300681,0.6393399685699319,0.5343073310722671,2014,36047058000,1312,580.0,0.0,0.0,0.0,70.0,0.500995789975888
3963,"Census Tract 580, Kings County, New York",59394.3,3638.0,0.5387575590984057,0.003573391973611875,0.00014809168749268985,0.004123144584936778,0.2867850098619329,0.2599605522682445,"$36,944","$17,217",0.45,0.9772905246671888,"$757,700","$1,090",0.4224613686534217,0.5775386313465783,0.5464540956569544,2013,36047058000,1312,580.0,0.0,0.0,0.0,69.0,0.37729588455748225
3964,"Census Tract 580, Kings County, New York",62969.8,3857.0,0.5151672284158673,0.008037334716100596,0.00013356682095303792,0.05392792325641689,0.3068783068783069,0.2783882783882784,"$43,397","$18,619",0.47,0.9224334600760457,"$637,900","$1,060",0.42663539223351576,0.5733646077664842,0.5571687840290381,2010,36047058000,1312,580.0,0.0,0.0,0.0,77.0,0.5391279190823457
3965,"Census Tract 580, Kings County, New York",61887.9,3666.0,0.4358974358974359,0.02427714129841789,0.00011890273756067537,0.11238406983087834,0.30689655172413793,0.29267241379310344,"$41,349","$18,815",0.49,0.8954402515723271,"$578,200",$982,0.4522640480087289,0.5477359519912711,0.5711947626841244,2009,36047058000,1312,580.0,0.0,0.0,0.0,73.0,0.6989418152954432
3971,"Census Tract 584, Kings County, New York",45449.5,3303.0,0.6960339085679685,0.01937632455343627,0.00021072779550952725,0.03451407811080836,0.12193221659524738,0.4892871055707051,"$58,975","$31,715",0.44,0.9224855861627164,"$571,000","$1,330",0.3082046624280957,0.6917953375719044,0.5788676960339085,2015,36047058400,1561,584.0,0.0,0.0,0.0,59.0,0.44659874217361645
3972,"Census Tract 584, Kings County, New York",44678.9,3247.0,0.6778564829072989,0.027717893440098552,0.00020876393067671668,0.010471204188481676,0.1196808510638298,0.4741641337386018,"$55,786","$32,119",0.44,0.935873015873016,"$544,200","$1,297",0.3048968278410841,0.6951031721589159,0.5327995072374501,2014,36047058400,1561,584.0,0.0,0.0,0.0,57.0,0.4124600351421533
3973,"Census Tract 584, Kings County, New York",48242.8,3506.0,0.7877923559612093,0.017683970336565887,0.00022469833313211904,0.004848830576155164,0.13918305597579425,0.4633131618759455,"$55,441","$28,900",0.44,0.938749194068343,"$617,300","$1,220",0.3727895037079293,0.6272104962920707,0.5008556759840274,2013,36047058400,1561,584.0,0.0,0.0,0.0,55.0,0.28698847801975047
3976,"Census Tract 586, Kings County, New York",42119.3,2658.0,0.3826185101580136,0.03160270880361174,0.00014394977808804122,0.04740406320541761,0.4150513112884835,0.2291904218928164,"$56,797","$20,032",0.41,0.9028901734104048,"$582,900","$1,048",0.4303987960872837,0.5696012039127163,0.5756207674943566,2015,36047058600,865,586.0,0.0,0.0,0.0,75.0,0.6225706167798982
3977,"Census Tract 586, Kings County, New York",41057.6,2591.0,0.4654573523736009,0.027016595908915475,0.00017964390288444652,0.005789270551910459,0.4017341040462428,0.24566473988439305,"$53,636","$22,181",0.47,0.8669527896995708,"$568,300","$1,154",0.4218448475492088,0.5781551524507912,0.5607873407950599,2014,36047058600,865,586.0,0.0,0.0,0.0,74.0,0.4848907896144303
3978,"Census Tract 586, Kings County, New York",41533.0,2621.0,0.4040442579168256,0.04769172071728348,0.00015415652724793042,0.006104540251812286,0.4104270660011093,0.23571824736550195,"$53,148","$22,340",0.46,0.9239373601789708,"$581,000","$1,215",0.3712323540633346,0.6287676459366653,0.6001526135062953,2013,36047058600,865,586.0,0.0,0.0,0.0,74.0,0.5437616317229923
3979,"Census Tract 586, Kings County, New York",38173.6,2409.0,0.35450394354503945,0.1278538812785388,0.00014715813347656266,0.0062266500622665,0.3396860986547085,0.1961883408071749,"$34,205","$18,119",0.46,0.917728852838934,"$520,800","$1,107",0.4537152345371524,0.5462847654628477,0.5172270651722707,2010,36047058600,865,586.0,0.0,0.0,0.0,74.0,0.6635349025339888
3980,"Census Tract 586, Kings County, New York",40769.7,2604.0,0.3859447004608295,0.1175115207373272,0.00014821225056099442,0.00998463901689708,0.2835400225479143,0.1956031567080045,"$40,341","$17,094",0.44,0.9491525423728814,"$463,800","$1,093",0.511520737327189,0.4884792626728111,0.4604454685099846,2009,36047058600,865,586.0,0.0,0.0,0.0,74.0,0.666363935891628
3981,"Census Tract 588, Kings County, New York",56875.9,3505.0,0.7069900142653353,0.017974322396576318,0.0002017089912311941,0.025677603423680456,0.1667913238593867,0.4854151084517577,"$61,964","$31,422",0.44,0.9272237196765498,"$425,500","$1,167",0.3141226818830242,0.6858773181169757,0.6194008559201141,2015,36047058800,1484,588.0,0.0,0.0,0.0,56.0,0.41312738807623095
3982,"Census Tract 588, Kings County, New York",60397.2,3722.0,0.7388500806018271,0.018807092960773774,0.00019850888785648225,0.026061257388500802,0.1320284697508897,0.5213523131672598,"$67,833","$30,727",0.43,0.9550408719346049,"$358,200","$1,057",0.3124664159054272,0.6875335840945728,0.6367544331004836,2014,36047058800,1484,588.0,0.0,0.0,0.0,55.0,0.3950965204725186
3983,"Census Tract 588, Kings County, New York",58109.2,3581.0,0.7506283161128177,0.024015638089919016,0.00020961416255593904,0.024015638089919016,0.14350797266514806,0.4236902050113896,"$56,875","$27,113",0.43,0.9778254649499284,"$306,500","$1,097",0.3624685841943591,0.6375314158056409,0.629991622451829,2013,36047058800,1484,588.0,0.0,0.0,0.0,55.0,0.39620024706555146
