,Fl_ft2,LotArea,NumFloors,norm_gas,BuiltFAR,incomePC,ENERGY STAR Score,eui,log_eui,ZIPCODE,d_ghg,id_ghg,norm_elct,age,log_fl_ft2,log_LotArea,log_norm_gas,predicted_eui,diff_eui
1877,150429.0,15910,14.0,70013.8,9.45,64.16747818220519,63.0,79.8,1.9020028913507292,10025,574.9,192.0,4.5,94,11.92124649105959,9.674703121331833,11.15644764445854,83.56425558528962,53.76425558528962
1878,83471.0,10800,12.0,70879.3,7.73,64.16747818220519,74.0,94.8,1.9768083373380665,10025,373.9,105.1,4.2,108,11.332254545125242,9.287301413112312,11.168733709383694,90.26128447539534,45.461284475395345
1879,83519.0,10800,12.0,42881.8,7.73,64.16747818220519,94.0,67.0,1.8260748027008264,10025,230.1,105.0,4.4,108,11.33282942986471,9.287301413112312,10.66620277247559,87.94800518109,70.94800518109
1881,55868.0,11990,6.0,39971.5,4.66,64.16747818220519,16.0,96.8,1.9858753573083936,10025,212.3,116.9,7.3,109,10.930747044425662,9.39182824802156,10.595921979147315,105.74788562399847,58.947885623998474
1882,53085.0,8410,8.0,12509.5,6.31,64.16747818220519,74.0,84.8,1.9283958522567135,10025,259.9,56.3,3.7,107,10.879649681447674,9.037176752966994,9.434243634636635,87.49549542898917,52.695495428989176
1883,53093.0,8410,8.0,16381.3,6.31,64.16747818220519,88.0,70.8,1.850033257689769,10025,194.6,55.6,3.6,107,10.879800371798126,9.037176752966994,9.703895719337185,86.65271843758238,65.85271843758238
1884,65822.0,10833,9.0,483.0,4.37,64.16747818220519,97.0,75.4,1.8773713458697743,10025,354.4,20.1,1.1,108,11.09470940793663,9.290352309945568,6.180016653652572,69.115332008128,43.71533200812799
1885,117370.0,13638,11.0,51560.2,8.61,64.16747818220519,1.0,144.1,2.1586639808139894,10025,273.9,745.3,26.6,12,11.67308661709417,9.520615293080597,10.85050533602155,158.5597842757848,64.45978427578481
1886,67536.0,16090,9.0,44815.5,4.2,64.16747818220519,48.0,84.5,1.9268567089496924,10025,232.3,163.0,7.5,26,11.12041606802228,9.685953239986429,10.710309340707914,91.28756131636608,56.78756131636608
1887,123205.0,15771,10.0,93785.7,7.81,64.16747818220519,39.0,91.8,1.9628426812012425,10025,507.9,162.8,4.6,67,11.721604913673616,9.665928089487558,11.448767671346738,80.13806343539031,38.33806343539031
1888,160658.0,20813,10.0,92873.7,7.85,64.16747818220519,82.0,67.1,1.826722520168992,10025,493.3,161.6,3.4,87,11.987033161000998,9.943333070458252,11.438995784613887,75.21691099114041,58.116910991140415
