,Statistics,Population Density (per sq. mile),Total Population:,White Alone,Black or African American Alone,Asian Alone,Hispanic or Latino Alone,Less than High School,Bachelor's degree or More,Median household income (In 2013 Inflation Adjusted Dollars),Per capita income (In 2013 Inflation adjusted dollars),Gini Index,Occupied,Median year structure built,Median value,Median Gross Rent,Under 2.00 (Poor or struggling),2.00 and Over (Doing ok),Foreign Born:,Population 25 Years and Over:,Housing units:,Population for whom poverty status Is determined:,year
2676,"Census Tract 231, New York County, New York",86005.0,6066.0,2144.0,2264.0,189.0,550.0,729.0,1915.0,"$39,892","$29,014",0.53,2659.0,1939.0,"$1,000,001","$1,123",3079.0,2977.0,1978.0,4004.0,2894.0,6056.0,2013
2677,Unnamed: 2678,,,0.353,0.373,0.031,0.091,0.182,0.478,,,,0.919,,,,0.508,0.49200000000000005,0.326,,,,2013
2678,"Census Tract 232, New York County, New York",120682.5,8409.0,597.0,6465.0,100.0,783.0,1335.0,791.0,"$27,439","$13,877",0.45,3033.0,1955.0,"$276,100",$721,5931.0,2343.0,2467.0,4928.0,3302.0,8274.0,2013
2679,Unnamed: 2680,,,0.071,0.769,0.012,0.09300000000000001,0.271,0.161,,,,0.919,,,,0.7170000000000001,0.28300000000000003,0.293,,,,2013
2680,"Census Tract 233, New York County, New York",73248.1,6432.0,1988.0,2698.0,151.0,714.0,712.0,1675.0,"$36,465","$28,783",0.54,2458.0,1939.0,"$725,000","$1,131",3543.0,2884.0,2177.0,4549.0,2669.0,6427.0,2013
2681,Unnamed: 2682,,,0.309,0.42,0.024,0.111,0.157,0.368,,,,0.9209999999999999,,,,0.551,0.449,0.33899999999999997,,,,2013
2682,"Census Tract 234, New York County, New York",124034.1,5196.0,818.0,3105.0,41.0,857.0,634.0,1196.0,"$32,210","$20,246",0.45,2090.0,1939.0,"$568,400","$1,035",3093.0,2103.0,1505.0,3280.0,2279.0,5196.0,2013
2683,Unnamed: 2684,,,0.157,0.598,0.008,0.165,0.193,0.365,,,,0.917,,,,0.595,0.405,0.29,,,,2013
2684,"Census Tract 235.01, New York County, New York",94011.7,6499.0,923.0,3353.0,153.0,1280.0,1055.0,1236.0,"$39,913","$26,262",0.54,2443.0,1939.0,"$268,800",$946,3461.0,3038.0,1989.0,4410.0,2577.0,6499.0,2013
2685,Unnamed: 2686,,,0.142,0.516,0.024,0.19699999999999998,0.239,0.28,,,,0.948,,,,0.5329999999999999,0.46799999999999997,0.306,,,,2013
2686,"Census Tract 235.02, New York County, New York",126059.7,2012.0,293.0,1413.0,0.0,124.0,227.0,508.0,"$30,288","$22,018",0.52,778.0,1939.0,,"$1,021",1169.0,843.0,504.0,1328.0,954.0,2012.0,2013
2687,Unnamed: 2688,,,0.146,0.7020000000000001,0.0,0.062,0.171,0.38299999999999995,,,,0.816,,,,0.581,0.419,0.251,,,,2013
2688,"Census Tract 236, New York County, New York",60230.0,6796.0,324.0,5728.0,114.0,511.0,761.0,1038.0,"$37,647","$21,443",0.43,3095.0,1963.0,"$158,200",$809,2399.0,4397.0,905.0,4941.0,3184.0,6796.0,2013
2689,Unnamed: 2690,,,0.048,0.843,0.017,0.075,0.154,0.21,,,,0.972,,,,0.353,0.647,0.133,,,,2013
2690,"Census Tract 237, New York County, New York",73875.0,7772.0,1893.0,2608.0,58.0,1026.0,1843.0,1101.0,"$36,489","$16,946",0.45,2474.0,1939.0,"$162,200","$1,095",4159.0,3608.0,3242.0,4990.0,2727.0,7767.0,2013
2691,Unnamed: 2692,,,0.244,0.336,0.008,0.132,0.369,0.221,,,,0.907,,,,0.536,0.465,0.41700000000000004,,,,2013
2692,"Census Tract 238.01, New York County, New York",70534.6,9761.0,5220.0,1552.0,2095.0,293.0,668.0,4457.0,"$76,594","$44,611",0.46,3937.0,1979.0,"$580,400","$1,845",1517.0,7631.0,4613.0,7131.0,4286.0,9148.0,2013
2693,Unnamed: 2694,,,0.535,0.159,0.215,0.03,0.094,0.625,,,,0.919,,,,0.166,0.8340000000000001,0.473,,,,2013
